CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited,Predicted
-0.84356020758638,2.0,0.0,-0.4693113027136664,0.3413519501232164,1.0957646270574075,1,0,0,1.6774313522330433,0,0
0.32562544775579216,0.0,0.0,1.247053329909764,-0.004425957213915414,0.5799343732302416,1,1,0,-1.373819220802672,1,1
1.6707062901848397,2.0,1.0,-0.08789693990845966,-0.695981771888179,0.81148314314014,2,1,1,1.2995235019317553,0,0
-2.2196813771484054,1.0,1.0,0.5795781950006521,-0.695981771888179,0.4464065995556618,2,1,1,1.4511117683430361,1,0
0.9153916632823745,0.0,1.0,-0.4693113027136664,1.378685672134612,-1.2258476714090278,1,1,0,-0.686968297244281,0,0
-0.1710197863718562,2.0,0.0,-0.27860412131106305,-1.3875375865624426,-1.2258476714090278,1,1,1,0.7628638124629785,0,0
-0.7090521233434752,0.0,0.0,-0.6600184841162697,-1.3875375865624426,0.6398608550349641,1,0,1,0.91641216704078,0,0
1.3499562431440668,2.0,1.0,-0.3739577120123647,-1.3875375865624426,-1.2258476714090278,2,0,0,-1.0080810626885683,0,0
0.5015206348426676,2.0,1.0,-0.3739577120123647,-1.0417596792253108,1.4579824152402732,2,1,1,-0.7784316590415792,0,0
1.0498997475252794,1.0,0.0,-0.08789693990845966,1.7244635794717436,0.4032839002725233,2,1,0,1.2504639140662086,0,0
1.598278860207891,1.0,1.0,1.6284676927149706,0.3413519501232164,1.2071041507286193,1,1,0,-0.9268189581915656,1,1
-0.6055843662335485,1.0,1.0,-0.5646648934149681,-1.0417596792253108,1.2835305410715507,1,1,1,-1.0946382918093043,0,0
0.11868993353593868,1.0,1.0,0.0074566507928420294,-0.004425957213915414,1.015096502092113,2,1,1,0.8021486952170583,0,0
0.3463189991777775,0.0,1.0,-0.5646648934149681,-0.35020386455104724,1.029176317197326,1,1,0,0.060299666140987584,0,0
-2.271415255703369,0.0,1.0,2.2959428276240823,0.3413519501232164,1.354242626033023,1,1,1,1.1810249389710925,0,1
